date,state_name,state_code,district_name,district_code,awc_infra_dws,awc_infra_fun_toilets,awc_infra_own_buil,aadhar_verf_benf,adolescent_girls,awc_open_1day,awc_open_21day,aww,awc,children_0_6_months,children_3_6_years,children_6months_3years,children_awc_21days,children_3_6_years_nonschool,children_3_6_years_school,elgb_benef,health_id_created,hcm_1_6days,hcm_15_20days,hcm_7_14days,hcm_atleast_1day,hcm_atleast_15days,hcm_atleast_21days,lact_mothers,pregnant_women,project,sector,thm_atleast_1day,thm_atleast_21days
01-04-2023,Andaman And Nicobar Islands,35,North And Middle Andaman,632,230,203,138,3388,0,262,97,259,268,261,1150,2199,238,1083,67,4110,108,208,446,210,1096,678,232,247,253,2,9,1038,1021
01-04-2023,Andaman And Nicobar Islands,35,Nicobars,603,53,56,34,447,0,63,5,79,79,68,876,795,0,864,12,1831,6,223,24,58,305,24,0,47,45,1,5,0,0
01-04-2023,Andaman And Nicobar Islands,35,South Andamans,602,340,339,98,7525,0,357,151,372,373,434,2927,4973,460,2844,83,9341,149,488,1056,454,2409,1467,411,474,533,2,11,2472,1790
01-04-2023,Andhra Pradesh,28,Anantapur,502,1160,1175,984,216529,0,4893,1524,5093,5127,6642,105544,111409,12744,103640,1904,249385,41426,20570,32505,19788,84911,44553,12048,9565,16225,17,206,17446,17293
01-04-2023,Andhra Pradesh,28,Alluri Sitharama Raju,745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-04-2023,Andhra Pradesh,28,Anakapalli,744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-04-2023,Andhra Pradesh,28,Annamayya,753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-04-2023,Andhra Pradesh,28,Bapatla,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-04-2023,Andhra Pradesh,28,Chittoor,503,825,880,850,199814,0,4727,2410,4713,4778,7473,83917,102814,19251,81666,2251,220229,19450,13132,26107,14007,71774,44635,18528,9941,16084,21,188,22344,22231
01-04-2023,Andhra Pradesh,28,East Godavari,505,1058,1065,571,239401,0,5358,1453,5518,5548,7674,116027,121397,11178,110818,5209,272312,35068,25364,23560,20164,79853,34325,10765,10220,16994,28,225,14274,14180
